pick_date,ticker,direction,score,entry_close,exit_date,exit_close,return_pct,spy_return_pct,beat_spy,no_call
2026-07-30,XRX,LONG,40,3.49,2026-08-06,3.23,-7.45,3.63,False,False
2026-07-31,AXTI,LONG,95,60.43,2026-08-07,88.58,46.58,3.51,True,False
2026-07-31,DFNS,WATCH,54,27.68,2026-08-07,37.95,37.1,3.51,,True
2026-07-31,DRAM,LONG,40,50.37,2026-08-07,50.54,0.34,3.51,False,False
2026-07-31,FCUV,LONG,62,11.6,2026-08-07,5.2,-55.17,3.51,False,False
2026-07-31,KUST,LONG,75,1.24,2026-08-07,1.21,-2.42,3.51,False,False
2026-07-31,LBGJ,WATCH,54,3.74,2026-08-07,3.36,-10.16,3.51,,True
2026-07-31,MGRX,LONG,67,0.5571,2026-08-07,0.4921,-11.67,3.51,False,False
2026-07-31,REPL,SHORT,66,11.2,2026-08-07,12.06,-7.68,3.51,False,False
2026-07-31,SNXX,WATCH,41,9.34,2026-08-07,9.065,-2.94,3.51,,True
2026-07-31,SOXL,WATCH,27,114.72,2026-08-07,140.31,22.31,3.51,,True
2026-08-03,ATKR,LONG,89,93.55,2026-08-10,93.75,0.21,2.03,False,False
2026-08-03,EDBL,WATCH,21,2.28,2026-08-10,1.83,-19.74,2.03,,True
2026-08-03,EZRA,WATCH,15,2.65,2026-08-10,2.51,-5.28,2.03,,True
2026-08-03,FCUV,SHORT,59,11.5,2026-08-10,6.44,44.0,2.03,True,False
2026-08-03,HYFM,WATCH,46,2.15,2026-08-10,1.95,-9.3,2.03,,True
2026-08-03,RITR,WATCH,10,0.3418,2026-08-10,0.1682,-50.79,2.03,,True
2026-08-03,SNXX,WATCH,15,10.43,2026-08-10,9.43,-9.59,2.03,,True
2026-08-03,SOXL,WATCH,20,116.71,2026-08-10,130.0,11.39,2.03,,True
2026-08-03,SOXS,LONG,40,53.08,2026-08-10,45.21,-14.83,2.03,False,False
2026-08-03,UPC,WATCH,10,6.48,2026-08-10,7.09,9.41,2.03,,True
2026-08-04,ADGM,LONG,68,0.8,2026-08-11,0.7191,-10.11,-0.1,False,False
2026-08-04,ELPW,WATCH,40,7.173,2026-08-11,4.83,-32.66,-0.1,,True
2026-08-04,ENSC,LONG,56,0.3842,2026-08-11,0.4205,9.45,-0.1,True,False
2026-08-04,KORU,WATCH,30,19.12,2026-08-11,17.63,-7.79,-0.1,,True
2026-08-04,NOK,LONG,76,9.92,2026-08-11,9.46,-4.64,-0.1,False,False
2026-08-04,NUWE,WATCH,24,1.88,2026-08-11,1.48,-21.28,-0.1,,True
2026-08-04,SOXL,WATCH,20,139.9,2026-08-11,133.11,-4.85,-0.1,,True
2026-08-04,SOXS,WATCH,20,42.33,2026-08-11,44.05,4.06,-0.1,,True
2026-08-04,TNMG,LONG,55,0.4757,2026-08-11,0.4702,-1.16,-0.1,False,False
2026-08-04,VTGN,LONG,40,0.3,2026-08-11,0.2691,-10.3,-0.1,False,False
2026-08-05,AMIX,WATCH,65,12.1,2026-08-12,7.535,-37.73,0.35,,True
2026-08-05,BJDX,WATCH,46,1.24,2026-08-12,1.05,-15.32,0.35,,True
2026-08-05,DBGI,LONG,75,16.28,2026-08-12,16.64,2.21,0.35,True,False
2026-08-05,EOSE,LONG,40,3.82,2026-08-12,4.24,10.99,0.35,True,False
2026-08-05,NVDA,LONG,94,219.22,2026-08-12,224.09,2.22,0.35,True,False
2026-08-05,SOXL,WATCH,46,132.07,2026-08-12,142.17,7.65,0.35,,True
2026-08-05,SOXS,WATCH,32,45.08,2026-08-12,40.95,-9.16,0.35,,True
2026-08-05,SPCX,WATCH,52,108.27,2026-08-12,146.15,34.99,0.35,,True
2026-08-05,SSPC,SHORT,35,21.21,2026-08-12,10.105,52.36,0.35,True,False
2026-08-05,VMAR,WATCH,42,0.6645,2026-08-12,0.63,-5.19,0.35,,True
2026-08-06,CELZ,LONG,61,1.15,2026-08-13,1.24,7.83,1.2,True,False
2026-08-06,CLRO,LONG,77,9.8,2026-08-13,5.67,-42.14,1.2,False,False
2026-08-06,ENSC,LONG,71,0.5243,2026-08-13,0.3485,-33.53,1.2,False,False
2026-08-06,INSM,WATCH,51,132.55,2026-08-13,126.33,-4.69,1.2,,True
2026-08-06,IOVA,LONG,40,6.21,2026-08-13,6.52,4.99,1.2,True,False
2026-08-06,SOUN,LONG,30,7.08,2026-08-13,7.48,5.65,1.2,True,False
2026-08-06,SOXS,WATCH,20,44.76,2026-08-13,40.15,-10.3,1.2,,True
2026-08-06,SPCX,SHORT,86,114.92,2026-08-13,141.29,-22.95,1.2,False,False
2026-08-06,SURG,LONG,99,0.325,2026-08-13,0.2466,-24.12,1.2,False,False
2026-08-06,WYHG,WATCH,15,9.83,2026-08-13,5.47,-44.35,1.2,,True
2026-08-07,DOCS,LONG,40,27.4,2026-08-14,24.815,-9.43,0.4,False,False
2026-08-07,DV,WATCH,49,13.21,2026-08-14,13.295,0.64,0.4,,True
2026-08-07,HTZ,WATCH,55,2.27,2026-08-14,2.24,-1.32,0.4,,True
2026-08-07,SEZL,WATCH,42,118.02,2026-08-14,128.96,9.27,0.4,,True
2026-08-07,SNXX,WATCH,41,9.11,2026-08-14,16.19,77.72,0.4,,True
2026-08-07,SOXL,SHORT,40,140.25,2026-08-14,145.0,-3.39,0.4,False,False
